grade_no,mdetail_no,grade_name,sort_no
10007835,1001692,E500,
10007830,1001692,"E320 CDI",
10007735,1001686,SL350,
10009822,1002134,STD,
10007489,1001638,"1.6 E-HDI 시크",
10007699,1001677,"0.6 2WD",
10010410,1002271,1.8,
10014757,1002280,"1.6 밀레짐 해치백",
10010566,1002311,"5.7 VTT",
10010567,1002311,"6.0 SE",
10010569,1002311,"6.0 GT",
10010570,1002311,"6.0 SV-R",
10004994,1001124,"2.3 SE",
10003552,1000870,VS450,
10003940,1000920,"VGT 4WD",
10003941,1000920,"VVT 2WD 메트로",
10004899,1000953,"2.0 TURBO",
10012426,1000948,"CLK63 AMG 블랙시리즈",
10006885,1000986,"4.2 V8",
10006590,1001014,"3.5 SHO",
10004308,1001057,"2인",
10004309,1001057,"2인 아맥스",
10010059,1002199,"2.4 스포트",
10003796,1000863,"고급형",
10010510,1002299,"2.0 HDI",
10014764,1002290,"1.6 HDI 스포티움",
10014762,1002287,"2.0 클래식 다이아몬드",
10010460,1002287,"2.0 클래식",
10010459,1002287,"2.0 스포츠",
10009581,1002051,2.0L,
10009309,1001995,SS,
10010426,1002274,"1.8 (디젤)",
10010425,1002274,1.6,
10004327,1001243,"4WD 터보 GDI TLX",
10017552,1002812,"LPG 카고 스마트",
10010424,1002274,1.4,
10004577,1001318,"1.6 프레스티지",
10007503,1001642,"2.0 E-HDI 소 시크",
10013243,1002697,"5.4 V12",
10010363,1002264,"2WD 2.0 투어링",
10010374,1002265,"4WD 2.0 스포츠",
10010362,1002264,"2WD 2.0 스포츠",
10015287,1003011,"2WD 디젤 2.2",
10015288,1003011,"4WD 디젤 2.2",
10007655,1001668,"카블리올레",
10007656,1001668,"쿠페",
10015296,1003015,"EV 프리미어",
10010093,1002204,"3.7 레니게이드 4DR 4X4",
10010092,1002204,"3.7 리미티드 에디션 4DR 4X2",
10010091,1002204,"3.7 스포츠 4DR 4X4",
10013308,1002707,"2WD 1.5 SFG-T 가솔린",
10009999,1002191,"3.0 쿠페",
10013320,1002709,F-SPORT,
10010588,1002316,"1.4 라운지",
10010602,1002320,"1.4 C",
10010603,1002321,"투리스모",
10010605,1002321,C,
10009787,1002123,3.4,
10014773,1002100,"리저브 II AWD",
10004070,1000806,"활어차",
10004174,1000852,"디젤 1.6",
10009328,1002006,"2.5GT LIMITED 웨건",
10007829,1001692,"E320 4MATIC",
10005670,1000948,CLK200,
10007734,1001686,SL320,
10015311,1003020,"2WD 가솔린 1.5",
10006886,1000986,"4.2 SC",
10011540,1002513,"하드탑 230SL CT",
10003805,1001015,"2.0 GL",
10004727,1000805,1.5,
10004409,1001335,LIMITED,
10004911,1000978,SE,
10015298,1003017,EV,
10012937,1002416,"1.9 TiD",
10008550,1001790,"2.0 R",
10008549,1001790,"2.0 GTD",
10004931,1001142,SE,
10008453,1001770,"1.4 TSI",
10010929,1002410,GLE,
10007826,1001692,"E280 CDI",
10007488,1001638,"1.4 E-HDI 시크",
10012046,1001120,"3.0쿠페",
10005646,1001021,CL500,
10010927,1002409,2.8,
10012425,1000948,"CLK63 AMG 카브리올레",
10003935,1000920,"CRDi 2WD",
10010608,1002322,"비포스트",
10010442,1002282,1.6,
10005979,1000880,"2.7 T",
10010441,1002281,1.6,
10009189,1001964,"1.0 X 4WD",
10007657,1001669,1.4,
10004582,1000854,"2.0 2U",
10005452,1000844,"씨티런",
10004824,1000830,2.0,
10012147,1000806,"스넥카(LPG)",
10007824,1001692,"E280 아방가르드",
10013740,1002785,"에코",
10010604,1002321,"컴페티지온",
10010606,1002321,"C 투리스모",
10007732,1001686,SL280,
10011139,1001557,"G300 익스클루시브",
10004107,1000813,"R2.2 4WD 익스클루시브",
10003553,1000870,"VS450 PREMIER",
10004408,1001335,GLX,
10003858,1001130,"9인승",
10010368,1002265,"2WD 2.0 스포츠",
10003852,1000991,"엑시드",
10004190,1001003,"가솔린 L",
10009426,1001003,"LPI LX",
10003806,1001015,"2.0 GT",
10012424,1000948,"CLK500 카브리올레",
10004492,1000937,"엠블런스",
10015748,1003100,"더블캡/초장축",
10015747,1003100,"더블캡/장축",
10012583,1000931,"2.0 티타늄 해치백",
10004932,1001142,LE,
10015746,1003100,"더블캡",
10004328,1001243,"4WD 터보 GDI LIMITED",
10015745,1003100,"1.0톤/슈퍼캡/초장축",
10003800,1000919,"2.0 GT",
10003795,1000863,"유로파",
10004587,1000854,"1.6 SMART",
10009319,1002001,L,
10009037,1001930,"X AWD",
10009036,1001930,"세단 스포츠",
10009035,1001930,"세단 프리미엄",
10007453,1001630,"1.4 VTR",
10007454,1001630,"1.4 HDI",
10007455,1001630,"1.6 VTS",
10008798,1001868,0.6,
10007658,1001669,1.6,
10007662,1001670,"1.5 5도어",
10008547,1001790,"2.0 GTI 3도어",
10014882,1001713,"M5 세단 컴패티션 35주년 에디션",
10007823,1001692,"E280 엘레강스",
10013323,1002711,"4.0 V8 쿠페",
10010006,1002193,2.5,
10007733,1001686,SL300,
10017265,1003097,"1.0톤/더블캡",
10010005,1002192,"5.7 컨버터블",
10007485,1001637,"HDI 115",
10009955,1002178,"3.8 쿠페",
10004596,1000854,"1.6 디젤 프랜드",
10007131,1001557,"G330 익스클루시브",
10004875,1001229,"2인",
10004892,1000798,"가솔린 에코",
10003856,1001130,"롱바디",
10006591,1000931,"2.0 SEL",
10005672,1000948,CLK230K,
10013579,1002760,"1.5 dCi 젠",
10013327,1002713,"2.4가솔린",
10003979,1000997,"6인",
10003807,1001015,"2.0 GTS",
10004929,1001025,"1.6 CE",
10004275,1000933,2.5,
10007825,1001692,"E270 CDI",
10005139,1001001,"RX5 Ti CT",
10004952,1000979,"520 LPG",
10012582,1000931,"2.0 해치백",
10003804,1000919,"2.0 GTS-1",
10009927,1002169,5.2,
10005189,1000885,"옴니 14인",
10007457,1001631,1.6I,
10007663,1001670,"1.6 3도어",
10011563,1002515,"CLUBBY 2WD",
10014032,1002822,4.6,
10007130,1001557,"G330 프리미엄",
10009738,1001556,"2.0 프리미엄 플러스",
10012468,1001767,"2.0 TSI",
10009865,1002146,5.7,
10014713,1002934,"6.2 블랙윙",
10003855,1001130,"6인승",
10008740,1001843,L-GRADE,
10008741,1001844,STD,
10012554,1001886,SL,
10008975,1001911,"4WD LE KINGCAP",
10008976,1001911,"4WD SE CREWCAP",
10009083,1001944,"S-에디션",
10009084,1001944,"V-에디션",
10009085,1001944,"카세르타",
10005138,1001001,"RX5 Ti",
10004910,1000978,XE,
10012423,1000948,"CLK430 카브리올레",
10012581,1000931,"1.6 해치백",
10003799,1000919,"2.0 GL",
10004223,1000909,2.0,
10009899,1002159,3.7,
10010448,1002284,"1.6 E-HDI 알뤼르",
10010579,1002314,"6.2 V12 쿠페",
10004586,1000854,"1.6 VGT 4U",
10004581,1000854,"1.6 4U",
10012146,1000806,"카고(LPG)",
10010348,1002260,"터보",
10003774,1000843,1.6,
10004337,1000853,"2WD LX",
10005134,1000800,RE290,
10008928,1001902,"4WD LE",
10008927,1001902,"4WD SE",
10003788,1000936,"1.5 DX",
10004933,1001142,RE,
10004934,1001142,"SE 20",
10005058,1001311,CW700,
10008792,1001866,"3.5 세단",
10009345,1002008,2.5,
10009343,1002008,2.0,
10007462,1001632,"HDI 115",
10006248,1001325,"3.7 AWD",
10009339,1002007,2.2,
10008791,1001866,"3.2 세단",
10007822,1001692,"E280 스포츠패키지",
10007482,1001636,"2.0 가솔린",
10013147,1002689,"3.6 AWD RS",
10011053,1001557,"G330 모던",
10007127,1001556,"2.0 프리미엄",
10007458,1001631,"1.6 디젤",
10007459,1001632,"VTI 95",
10004407,1001335,GX,
10008274,1001738,"30 D",
10013328,1002713,"3.0가솔린",
10013329,1002713,"3.5가솔린",
10004485,1000918,"15인(하이)",
10005187,1000885,"옴니 15인",
10011903,1002563,"2.0 TDI 4모션 프레스티지",
10008978,1001911,"4WD XE CREWCAP",
10008979,1001911,"4WD XE KINGCAP",
10008853,1001881,"3.5 투어링 4WD",
10003794,1000863,"어드밴스",
10004580,1000854,"1.6 2U",
10008935,1001903,"하이브리드",
10011214,1000806,"시티밴",
10009029,1001928,"5.6 NV2500 HD",
