gdetail_no,grade_no,gdetail_name,sort_no
100014352,10014952,"플래티넘",
100016524,10017542,"어스",
100015477,10016374,"프레스티지",
100016525,10017542,"GT 라인",
100015789,10005421,"기아",
100015788,10005421,"현대",
100016535,10017551,"11인승",
100016390,10017257,"모던플러스",
100016388,10017257,"스타일",
100016465,10016397,"스마트 셀렉션",
100015786,10005414,"현대",
100016556,10017576,"7인승",
100016426,10017345,"캠퍼 프레스티지",
100016557,10017576,"9인승",
100015461,10016360,"스마트",
100015686,10016533,GL,
100016558,10017577,"11인승",
100014317,10008209,i,
100016538,10017564,"3인승",
100016294,10017105,"어스",
100015787,10005414,"대우",
100015458,10016361,"슈퍼",
100015466,10016367,"럭셔리",
100016539,10017564,"5인승",
100014307,10014692,"터보S",
100014284,10008342,"컴포트",
100016540,10017565,"3인승",
100016550,10017572,"9인승",
100014502,10006570,"2세대",
100016564,10007974,"2인승",
100015790,10005421,"대우",
100016467,10017083,"슈퍼캡 스마트",
100016565,10007976,"2인승",
100016468,10017083,"슈퍼캡 스타일",
100016282,10017091,"스페셜",
100016283,10017091,"골드",
100014306,10014692,"터보",
100016291,10017104,"스페셜",
100016292,10017105,"라이트",
100015315,10016056,"하이울트라",
100016491,10005317,"뉴파워트럭 25톤",
100014281,10014584,"스탠다드",
100015820,10015237,"영업용 모빌리티",
100014492,10015237,"프리미엄",
100014494,10015237,"인스퍼레이션",
100014495,10015237,"장애인 익스클루시브",
100014496,10015237,"렌터카 비지니스 1 ",
100016559,10017577,"15인승",
100014261,10014523,B8,
100016541,10017565,"5인승",
100016542,10017566,"11인승",
100016571,10017566,"구급차",
100016502,10014497,"퍼포먼스 베터리 플러스",
100014503,10006571,"2세대",
100014576,10015272,"수출형",
100015314,10016056,"울트라",
100015265,10015981,"럭셔리",
100016543,10017567,"11인승",
100016544,10017568,"7인승",
100016512,10004605,"기본형",
100016545,10017569,"7인승",
100014255,10014512,"레드라인",
100014500,10006569,"1세대",
100016568,10017586,GL,
100015325,10016062,DLX,
100015326,10016062,"울트라",
100015467,10016368,"럭셔리",
100015327,10016062,"하이울트라",
100016452,10015785,"프리미엄",
100016466,10016402,"스마트 셀렉션",
100013889,10009874,"데날리",
100016326,10013748,"사지 에디션",
100016546,10017570,"2인승",
100016506,10004633,"렌터카 프레스티지",
100014300,10008603,S,
100016547,10017570,"5인승",
100014340,10014931,"다이나믹",
100016507,10005320,"올 뉴 마이티",
