maker_no,maker_name,sort_no,synced_at
10055,"현대",1,"2026-06-28 11:43:18.046328"
10060,"중대형버스",10,"2026-06-28 11:43:18.046328"
10071,"닛산",101,"2026-06-28 11:43:18.046328"
10077,"다이하쓰",102,"2026-06-28 11:43:18.046328"
10085,"다찌",103,"2026-06-28 11:43:18.046328"
10124,"동풍소콘",104,"2026-06-28 11:43:18.046328"
10103,"람보르기니",105,"2026-06-28 11:43:18.046328"
10069,"렉서스",106,"2026-06-28 11:43:18.046328"
10101,"로버",107,"2026-06-28 11:43:18.046328"
10100,"로터스",108,"2026-06-28 11:43:18.046328"
10117,"롤스로이스",109,"2026-06-28 11:43:18.046328"
10063,"기타제조사",11,"2026-06-28 11:43:18.046328"
10111,"르노",110,"2026-06-28 11:43:18.046328"
10082,"링컨",111,"2026-06-28 11:43:18.046328"
10104,"마세라티",112,"2026-06-28 11:43:18.046328"
10114,"마이바흐",113,"2026-06-28 11:43:18.046328"
10075,"마쯔다",114,"2026-06-28 11:43:18.046328"
10123,"맥라렌",115,"2026-06-28 11:43:18.046328"
10074,"미쯔비시",116,"2026-06-28 11:43:18.046328"
10108,"미쯔오카",117,"2026-06-28 11:43:18.046328"
10099,"벤틀리",118,"2026-06-28 11:43:18.046328"
10105,"부가티",119,"2026-06-28 11:43:18.046328"
10064,"벤츠",12,"2026-06-28 11:43:18.046328"
10119,"북기은상",120,"2026-06-28 11:43:18.046328"
10088,"뷰익",121,"2026-06-28 11:43:18.046328"
10093,"사브",122,"2026-06-28 11:43:18.046328"
10115,"사이언",123,"2026-06-28 11:43:18.046328"
10120,"선롱버스",124,"2026-06-28 11:43:18.046328"
10113,"스마트",125,"2026-06-28 11:43:18.046328"
10078,"스바루",126,"2026-06-28 11:43:18.046328"
10076,"스즈키",127,"2026-06-28 11:43:18.046328"
10084,"시보레",128,"2026-06-28 11:43:18.046328"
10095,"시트로엥",129,"2026-06-28 11:43:18.046328"
10065,BMW,13,"2026-06-28 11:43:18.046328"
10106,"알파로메오",130,"2026-06-28 11:43:18.046328"
10110,"애스턴마틴",131,"2026-06-28 11:43:18.046328"
10109,"어큐라",132,"2026-06-28 11:43:18.046328"
10118,"오펠",133,"2026-06-28 11:43:18.046328"
10089,"올즈모빌",134,"2026-06-28 11:43:18.046328"
10138,"이네오스",135,"2026-06-28 11:43:18.046328"
10132,"이베코",136,"2026-06-28 11:43:18.046328"
10079,"이스즈",137,"2026-06-28 11:43:18.046328"
10072,"인피니티",138,"2026-06-28 11:43:18.046328"
10096,"재규어",139,"2026-06-28 11:43:18.046328"
10066,"아우디",14,"2026-06-28 11:43:18.046328"
10134,"지리",140,"2026-06-28 11:43:18.046328"
10091,"지프",141,"2026-06-28 11:43:18.046328"
10125,"쯔더우",142,"2026-06-28 11:43:18.046328"
10083,"캐딜락",143,"2026-06-28 11:43:18.046328"
10080,"크라이슬러",144,"2026-06-28 11:43:18.046328"
10121,"테슬라",145,"2026-06-28 11:43:18.046328"
10073,"토요타",146,"2026-06-28 11:43:18.046328"
10107,"페라리",147,"2026-06-28 11:43:18.046328"
10081,"포드",148,"2026-06-28 11:43:18.046328"
10068,"포르쉐",149,"2026-06-28 11:43:18.046328"
10067,"폭스바겐",15,"2026-06-28 11:43:18.046328"
10122,"포톤",150,"2026-06-28 11:43:18.046328"
10090,"폰티악",151,"2026-06-28 11:43:18.046328"
10133,"폴스타",152,"2026-06-28 11:43:18.046328"
10094,"푸조",153,"2026-06-28 11:43:18.046328"
10102,"피아트",154,"2026-06-28 11:43:18.046328"
10086,"허머",155,"2026-06-28 11:43:18.046328"
10070,"혼다",156,"2026-06-28 11:43:18.046328"
10097,"미니",16,"2026-06-28 11:43:18.046328"
10092,"볼보",17,"2026-06-28 11:43:18.046328"
10098,"랜드로버",18,"2026-06-28 11:43:18.046328"
10116,"제네시스",2,"2026-06-28 11:43:18.046328"
10056,"기아",3,"2026-06-28 11:43:18.046328"
10136,BYD,301,"2026-06-28 11:43:18.046328"
10087,GMC,302,"2026-06-28 11:43:18.046328"
10137,LEVC,303,"2026-06-28 11:43:18.046328"
10135,"소형화물",4,"2026-06-28 11:43:18.046328"
10058,"르노코리아(삼성)",5,"2026-06-28 11:43:18.046328"
10059,"KG모빌리티(쌍용) ",6,"2026-06-28 11:43:18.046328"
10062,"쉐보레",7,"2026-06-28 11:43:18.046328"
10057,"대우",8,"2026-06-28 11:43:18.046328"
10061,"중대형화물",9,"2026-06-28 11:43:18.046328"
