model_no,maker_no,model_name,sort_no
101166,10132,"뉴데일리",
101360,10063,"이비온",
101376,10136,"돌핀",
101263,10134,"쎄아",
100701,10077,"코펜",1
100691,10076,"그랜드 비타라",1
100555,10067,"골프",1
100776,10083,"에스컬레이드",1
100646,10073,4Runner,1
100718,10080,200,1
100707,10079,"로데오",1
100279,10081,"이스케이프",1
100527,10065,"1시리즈",1
101104,10123,540C,1
101045,10122,"툰렌드",1
101101,10121,"모델 3",1
101027,10120,"두에고",1
101025,10119,"CK미니트럭",1
100455,10066,A1,1
101014,10118,"벡트라",1
101002,10116,EQ900,1
100710,10115,xA,1
100569,10114,57,1
100566,10113,"포투",1
100439,10110,DB,1
100470,10109,MDX,1
100464,10108,"가류",1
101143,10111,"조에",1
100236,10060,"소형현대버스",1
100674,10074,"이클립스",1
100684,10075,MX,1
100216,10061,"카고",1
101334,10138,"그레나디어",1
100511,10064,"A 클래스",1
100911,10103,"가야르도",1
101328,10133,"폴스타4",1
100239,10062,"스파크",1
100937,10106,147,1
100934,10105,EB110,1
101138,10063,"쎄보모빌리티",1
100925,10104,"그란스포츠",1
101096,10102,124,1
100888,10101,"미니",1
100877,10099,"컨티넨탈",1
100855,10097,"쿠퍼",1
100878,10100,2-Eleven,1
100863,10098,"디스커버리",1
100274,10057,"마티즈",1
100892,10094,107,1
100993,10093,9-3,1
101068,10096,E-PACE,1
100703,10078,"레거시",1
100479,10095,C2,1
101368,10086,"허머 EV",1
101046,10059,"코란도",1
100798,10087,"벤츄라",1
100833,10090,"그랑프리",1
101362,10058,"세닉",1
101144,10091,"글래디에이터",1
101315,10117,"스펙터",1
101372,10107,"12칠린드리",1
100974,10092,C30,1
100831,10089,"브라바다",1
100823,10088,"르사블",1
101264,10135,"카고(소형)",1
101329,10137,Tx,1
100581,10070,CR-V,1
100811,10085,"니트로",1
100721,10069,CT,1
100438,10056,K3,1
101340,10136,"아토3",1
100280,10072,Q,1
100283,10084,"타호",1
101108,10125,D2,1
100757,10082,MKC,1
100217,10055,"그랜저",1
100604,10071,"로그",1
101036,10068,718,1
101080,10124,K01,1
100587,10070,"댓츠",10
101305,10135,"냉동탑(저상)",10
101157,10076,"이그니스",10
100683,10074,"파제로",10
101257,10077,"캐스트",10
100980,10092,S90,10
101175,10064,EQA,10
100650,10073,"라브4",10
100966,10107,550,10
100805,10087,"캐니언",10
100901,10094,308,10
100886,10075,CX-7,10
100351,10061,"활어차",10
100946,10106,"스파이더",10
100390,10055,"제네시스",10
101139,10068,"타이칸",10
100445,10083,CTS,10
101331,10058,"그랑 콜레오스",10
100362,10059,"이스타나",10
100742,10081,"머스탱",10
101062,10062,"이쿼녹스",10
100613,10071,"블루버드",10
100486,10095,XM,10
100288,10057,"르망",10
100729,10080,"세브링",10
100785,10084,"에퀴녹스",10
101239,10063,"제이스 모빌리티",10
100436,10056,"레이",10
100931,10104,MC12,10
100550,10067,"페이튼",10
100973,10102,"프리몬트",10
100494,10085,"차저",10
100504,10111,"모뒤스",10
100577,10069,NX,10
100535,10065,X1,10
101115,10123,GT,10
101006,10109,ILX,10
101231,10066,Q4,10
100489,10096,XK,10
100765,10082,"타운카",10
100579,10069,RC,11
100851,10096,"다임러",11
101079,10058,"마스터",11
101037,10074,"아이",11
100450,10066,Q5,11
100544,10067,"폴로",11
100887,10075,CX-9,11
101055,10123,MP4-12C,11
101097,10056,"셀토스",11
100487,10095,"잔티아",11
100653,10073,"랜드크루저",11
101233,10064,EQB,11
100282,10059,"카리스타",11
101093,10082,"노틸러스",11
100564,10068,"파나메라",11
100820,10085,"챌린저",11
101298,10135,"냉동탑파워게이트",11
100352,10057,"레간자",11
100394,10055,i30,11
100786,10084,"체비밴",11
101370,10111,"탈리스만",11
100586,10070,"델솔",11
100902,10094,3008,11
100967,10107,575M,11
100981,10092,V40,11
100947,10106,"줄리아",11
100357,10061,"특수",11
100769,10083,CTS-V,11
101091,10065,X2,11
100614,10071,"세드릭",11
101103,10062,"트래버스",11
101224,10104,MC20,11
100730,10080,"스트라투스",11
100743,10081,"몬데오",11
100806,10087,"터레인",11
100770,10083,DTS,12
101354,10066,Q6,12
101277,10135,"냉장탑",12
101313,10123,"아투라",12
101344,10073,"마크X",12
100968,10107,599,12
100948,10106,"줄리에타",12
100932,10104,"3200 GT",12
100852,10096,"소버린",12
100982,10092,V50,12
100821,10085,"캐러밴",12
100903,10094,405,12
100578,10069,RX,12
100787,10084,"카마로",12
101133,10070,"라이프",12
101112,10064,EQC,12
100744,10081,"브롱코",12
101130,10082,"코세어",12
100731,10080,"시러스",12
101034,10075,"베리사",12
100552,10067,"투아렉",12
100423,10055,i40,12
100402,10056,"스포티지",12
100615,10071,"세피로",12
101316,10058,"아르카나",12
100392,10057,"레조",12
101118,10062,"트레일블레이저",12
100536,10065,X3,12
101061,10055,"넥쏘",13
100654,10073,"매트릭스",13
100732,10080,"이글탈론",13
100745,10081,"썬더버드",13
101324,10056,EV3,13
100771,10083,SRX,13
100537,10065,X4,13
100588,10070,"레전드",13
100788,10084,"콜벳",13
101219,10058,"조에",13
100452,10066,Q7,13
101325,10069,RZ,13
100904,10094,406,13
100359,10057,"매그너스",13
101349,10123,"세나",13
100822,10085,"캘리버",13
100983,10092,V60,13
101243,10064,EQE,13
101308,10135,"냉장탑(하이)",13
100616,10071,"센트라",13
100933,10104,"4200 GT",13
100949,10106,4C,13
100969,10107,612,13
100319,10062,"카마로",13
101111,10075,MPV,13
101169,10067,"사란",13
101149,10080,"프라울러",14
101299,10135,"냉장탑파워게이트",14
