mdetail_no,model_no,mdetail_name,sort_no,st_year,ed_year
1003489,101192,"플라잉스퍼 4세대",,2025,
1003544,100776,"에스컬레이드 IQ",,2026,
1002789,101008,"고스트 2세대",,2021,
1002799,101149,"프라울러",,1997,2002
1003550,101377,"아카디아",,2026,
1003546,101274,"[푸드트럭]포터2 (EV)",,,
1002809,101157,"이그니스",,2000,
1003528,101371,"필랑트",,2026,
1002934,101151,CT5-V,,2022,
1003533,101311,"296 스페치알레",,2026,
1003501,101362,"세닉",,2025,
1002881,101219,"조에",,2020,
1002782,101142,CT4,,2020,
1002925,101232,ID.4,,2022,
1003498,101361,"벨파이어",,,
1003494,101360,E6,,,
1003484,101359,"PV5 패신저",,2025,
1002940,100531,"7시리즈 (G70)",,2022,
1002932,101234,"C40 리차지",,2021,
1002939,100595,"오딧세이 (5세대)",,2013,
1003535,100902,"3008 (3세대)",,2025,
1002785,101143,"조에",,2012,
1002855,101205,HIACE,,,
1002926,101233,"EQB (X243)",,2022,
1002954,101238,"블루온",,2010,
1003526,101370,"탈리스만",,2011,2022
1003035,100435,"더 뉴 K5 하이브리드 3세대",,2023,
1002788,101144,"글래디에이터",,2020,
1003522,101047,"무쏘(Q300)",,2026,
1003493,100453,"A5 (B10)",,2025,
1003548,101376,"돌핀",,2026,
1003482,101357,SEAL,,2005,
1003547,101375,"비스틱",,2026,
1002991,100278,A3(8Y),,2022,
1002964,101242,"비안테",,2008,
1002800,101151,CT5,,2020,
1003536,101245,"S6 e-트론",,2026,
1003537,101374,"봉고3",,,
1003524,101369,"[카고]포터2",,,
1003480,101355,"업",,2012,2023
1003534,101373,"아말피",,2026,
1003523,101368,"허머 EV",,,
1003470,101352,"에이스맨(J05)",,2025,
1002967,101244,"V8 4.2",,2019,
1003521,101367,EX40,,2025,
1003520,101366,"시안",,2020,
1003468,101351,ID.5,,2025,
1003532,101372,"12칠린드리 스파이더",,2025,
1003461,101349,"세나",,2019,2019
1003460,101348,"레부엘토",,2025,
1003531,101372,"12칠린드리",,2025,
1002801,101152,"MASTA(마스타 전기차)",,2018,
1003206,101289,"[바가지차]봉고3",,2004,2019
1003376,101317,"그랜드 캘리포니아",,2021,
1003507,101364,"프리드",,,
1003371,101315,"스펙터",,2023,
1003205,101289,"[바가지차]더뉴봉고3",,2019,
1003017,100917,500e,,2013,
1002959,100867,"레인지로버 스포츠 3세대",,2022,
1003369,101314,T4K,,2023,
1002681,100977,"S60(3세대)",,2019,
1002756,100451,"Q3 (F3)",,2018,
1003504,101363,"씨라이언 7",,2025,
1002802,101153,"티록",,2021,
1002682,100621,"알티마(L34)",,2019,
1003542,101158,"더 뉴 스타리아 하이브리드",,2026,
1002813,101162,"유니목",,,
1003366,101312,"CLE 클래스",,2024,
1003541,101158,"더 뉴 스타리아",,2026,
1002822,101165,"컨코어",,1994,1999
1002826,101166,"뉴데일리밴",,2014,
1002831,101169,"사란",,1995,
1002841,101180,XT4,,2018,
1002995,101257,"캐스트",,2015,
1003011,100353,"렉스턴 뉴 아레나 (Y461)",,2023,
1003013,101258,EV9,,2023,
1002852,101191,C6,,2005,2012
1003023,101260,"XM (G09)",,2023,
1003032,101261,408,,2023,
1003048,101263,"쎄아",,2023,
1002833,101172,"SMART EV",,2020,
1003368,101313,"아투라",1,2021,
1001701,100520,"솔라티",1,2015,
1001862,100586,"델솔",1,1992,1998
1001880,100600,"크로스투어",1,2010,2015
1001891,100610,"무라노",1,2002,
1001916,100633,"프레리",1,,2004
1003456,101310,"그레칼레 EV",1,2025,
1002043,100659,"소아라",1,,2004
1002728,100660,"수프라 5세대",1,2020,
1003359,101309,i5,1,2023,
1001959,100663,"노아",1,2001,
1001960,100664,"알테자",1,2002,
1001961,100665,"체이서",1,,2001
1001962,100666,"코롤라",1,1966,
1001975,100678,RVR,1,2012,
1001978,100681,"갤랑",1,,2012
1001984,100685,RX-7,1,,2002
1001987,100687,"MAZDA 5",1,1999,2015
1001988,100688,"MAZDA 6",1,2002,
1001989,100689,"유노스",1,1989,1997
1001991,100691,"그랜드 비타라",1,1998,
1001992,100692,"사이드킥",1,1989,1999
1001995,100694,"알토라팡",1,2002,
1001996,100695,"짐니",1,1998,
1001997,100696,"마테리아",1,2006,2012
1002007,100704,"아웃백",1,1995,2012
1002015,100711,xB,1,2004,2015
1002016,100712,xD,1,2007,2014
1003356,101308,"[하이냉장탑]포터2 (LPG2.5터보)",1,2024,
1003352,101307,"[하이냉동탑]포터2 (LPG2.5터보)",1,2024,
1002625,100720,"더 뉴 아이오닉",1,2019,2021
1003457,101306,"[하이내장탑]ST1 (EV)",1,2025,
1002058,100728,"비전",1,1993,1997
1003383,101305,"[저상냉동탑]ST1 (EV)",1,2024,
1003027,100404,"더 뉴 쏘렌토 4세대",1,2023,
1003382,101304,"[저상내장탑]ST1 (EV)",1,2024,
1001676,100505,N-BOX,1,2012,
1001683,100510,"웨이크",1,2014,
1003365,100515,"E-클래스 W214",1,2024,
1003324,101303,"플렉스",1,2009,2019
1003232,101302,"[접이식탑차]뉴라보",1,2008,
1003316,101301,"[트랜스파워게이트]포터2 (LPG2.5터보)",1,2024,
